gene_name	go_id	biological_function
ACTR5	GO:0006355	regulation of DNA-templated transcription
ACTR8	GO:0006302; GO:0006355	double-strand break repair; regulation of DNA-templated transcription
ACTRT1	GO:0006355	regulation of DNA-templated transcription
ACVR1	GO:0006468; GO:0007179; GO:0007507	heart development; protein phosphorylation; transforming growth factor beta receptor signaling pathway
ACVR1B	GO:0006468; GO:0071363	cellular response to growth factor stimulus; protein phosphorylation
ACVR1C	GO:0006468; GO:0071363	cellular response to growth factor stimulus; protein phosphorylation
ACVR2A	GO:0006468; GO:0032924; GO:0071363	activin receptor signaling pathway; cellular response to growth factor stimulus; protein phosphorylation
ACVR2B	GO:0006468; GO:0032924; GO:0071363	activin receptor signaling pathway; cellular response to growth factor stimulus; protein phosphorylation
ACVRL1	GO:0001525; GO:0006468; GO:0007179; GO:0007507	angiogenesis; heart development; protein phosphorylation; transforming growth factor beta receptor signaling pathway
ADA	GO:0006144; GO:0006152; GO:0034654; GO:0044283; GO:0046085; GO:0072522; GO:1901137	adenosine metabolic process; carbohydrate derivative biosynthetic process; nucleobase-containing compound biosynthetic process; purine nucleobase metabolic process; purine nucleoside catabolic process; purine-containing compound biosynthetic process; small molecule biosynthetic process
ADA2	GO:0006144; GO:0006152; GO:0034654; GO:0044283; GO:0046085; GO:0072522; GO:1901137	adenosine metabolic process; carbohydrate derivative biosynthetic process; nucleobase-containing compound biosynthetic process; purine nucleobase metabolic process; purine nucleoside catabolic process; purine-containing compound biosynthetic process; small molecule biosynthetic process
ADAD1	GO:0006382; GO:0006396	RNA processing; adenosine to inosine editing
ADAD2	GO:0006382; GO:0006396	RNA processing; adenosine to inosine editing
ADAL	GO:0006144; GO:0006152; GO:0034654; GO:0044283; GO:0046085; GO:0072522; GO:1901137	adenosine metabolic process; carbohydrate derivative biosynthetic process; nucleobase-containing compound biosynthetic process; purine nucleobase metabolic process; purine nucleoside catabolic process; purine-containing compound biosynthetic process; small molecule biosynthetic process
ADAM10	GO:0006509; GO:0007219	Notch signaling pathway; membrane protein ectodomain proteolysis
ADAM15	GO:0007229; GO:0045087	innate immune response; integrin-mediated signaling pathway
ADAM17	GO:0006509; GO:0007219	Notch signaling pathway; membrane protein ectodomain proteolysis
ADAM18	GO:0007155; GO:0007339; GO:0008584	binding of sperm to zona pellucida; cell adhesion; male gonad development
ADAM19	GO:0006509	membrane protein ectodomain proteolysis
ADAM2	GO:0007155; GO:0007339; GO:0008584	binding of sperm to zona pellucida; cell adhesion; male gonad development
ADAM20	GO:0008584	male gonad development
ADAM21	GO:0008584	male gonad development
ADAM29	GO:0008584	male gonad development
ADAM30	GO:0008584	male gonad development
ADAM32	GO:0007155; GO:0007339; GO:0008584	binding of sperm to zona pellucida; cell adhesion; male gonad development
ADAM8	GO:0002687; GO:0006954; GO:0022407; GO:0031331; GO:0045732; GO:0045862	inflammatory response; positive regulation of cellular catabolic process; positive regulation of leukocyte migration; positive regulation of protein catabolic process; positive regulation of proteolysis; regulation of cell-cell adhesion
ADAMTS1	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS10	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS12	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS13	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS14	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS15	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS16	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS17	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS18	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS19	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS2	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS20	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS3	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS4	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS5	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS6	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS7	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS8	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTS9	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTSL1	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTSL2	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTSL3	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTSL4	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAMTSL5	GO:0006508; GO:0030198	extracellular matrix organization; proteolysis
ADAP1	GO:0043087	regulation of GTPase activity
ADAP2	GO:0007507; GO:0043087	heart development; regulation of GTPase activity
ADAR	GO:0006382; GO:0006396	RNA processing; adenosine to inosine editing
ADARB1	GO:0006382; GO:0006396	RNA processing; adenosine to inosine editing
ADARB2	GO:0006382; GO:0006396	RNA processing; adenosine to inosine editing
ADAT1	GO:0008033	tRNA processing
ADAT2	GO:0006382; GO:0006400	adenosine to inosine editing; tRNA modification
ADCY1	GO:0007189; GO:0009152; GO:0009187	adenylate cyclase-activating G protein-coupled receptor signaling pathway; cyclic nucleotide metabolic process; purine ribonucleotide biosynthetic process
ADCY2	GO:0007189; GO:0007193; GO:0009152; GO:0009187	adenylate cyclase-activating G protein-coupled receptor signaling pathway; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; cyclic nucleotide metabolic process; purine ribonucleotide biosynthetic process
ADCY3	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY4	GO:0007189; GO:0007193; GO:0009152; GO:0009187	adenylate cyclase-activating G protein-coupled receptor signaling pathway; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; cyclic nucleotide metabolic process; purine ribonucleotide biosynthetic process
ADCY5	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY6	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCY7	GO:0007189; GO:0007193; GO:0009152; GO:0009187	adenylate cyclase-activating G protein-coupled receptor signaling pathway; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; cyclic nucleotide metabolic process; purine ribonucleotide biosynthetic process
ADCY8	GO:0007189; GO:0009152; GO:0009187	adenylate cyclase-activating G protein-coupled receptor signaling pathway; cyclic nucleotide metabolic process; purine ribonucleotide biosynthetic process
ADCY9	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADCYAP1	GO:0007189; GO:0007218; GO:0031175; GO:0032880; GO:0070374	adenylate cyclase-activating G protein-coupled receptor signaling pathway; neuron projection development; neuropeptide signaling pathway; positive regulation of ERK1 and ERK2 cascade; regulation of protein localization
ADCYAP1R1	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
ADD1	GO:0010720; GO:0030856; GO:0051016; GO:0051130	barbed-end actin filament capping; positive regulation of cell development; positive regulation of cellular component organization; regulation of epithelial cell differentiation
ADD2	GO:0051016	barbed-end actin filament capping
ADD3	GO:0051016	barbed-end actin filament capping
ADGRA1	GO:0007166	cell surface receptor signaling pathway
ADGRA2	GO:0002040; GO:0007166; GO:0007417; GO:0090263	cell surface receptor signaling pathway; central nervous system development; positive regulation of canonical Wnt signaling pathway; sprouting angiogenesis
ADGRA3	GO:0007166	cell surface receptor signaling pathway
ADGRB1	GO:0006911; GO:0007189; GO:0043277	adenylate cyclase-activating G protein-coupled receptor signaling pathway; apoptotic cell clearance; phagocytosis, engulfment
ADGRB2	GO:0007189; GO:0007422	adenylate cyclase-activating G protein-coupled receptor signaling pathway; peripheral nervous system development
ADGRB3	GO:0007189; GO:0048666	adenylate cyclase-activating G protein-coupled receptor signaling pathway; neuron development
ADGRD1	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRD2	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRE1	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRE2	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRE3	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRE4P	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRE5	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRF1	GO:0006112; GO:0007189; GO:0007416; GO:0019216; GO:0031175; GO:0045444	adenylate cyclase-activating G protein-coupled receptor signaling pathway; energy reserve metabolic process; fat cell differentiation; neuron projection development; regulation of lipid metabolic process; synapse assembly
ADGRF2	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRF3	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRF4	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRF5	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRG1	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRG2	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRG3	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRG4	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRG5	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRG6	GO:0003007; GO:0007189; GO:0007422; GO:0010001; GO:0042552; GO:0048468; GO:0048646	adenylate cyclase-activating G protein-coupled receptor signaling pathway; anatomical structure formation involved in morphogenesis; cell development; glial cell differentiation; heart morphogenesis; myelination; peripheral nervous system development
ADGRG7	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRL1	GO:0007157; GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
ADGRL2	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRL3	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADGRL4	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
ADH1A	GO:0006091; GO:0010033; GO:0032787; GO:0042572; GO:0044248; GO:0044282; GO:0098754; GO:1901575; GO:1901701	cellular catabolic process; cellular response to oxygen-containing compound; detoxification; generation of precursor metabolites and energy; monocarboxylic acid metabolic process; organic substance catabolic process; response to organic substance; retinol metabolic process; small molecule catabolic process
ADH1B	GO:0006091; GO:0010033; GO:0032787; GO:0042572; GO:0044248; GO:0044282; GO:0098754; GO:1901575; GO:1901701	cellular catabolic process; cellular response to oxygen-containing compound; detoxification; generation of precursor metabolites and energy; monocarboxylic acid metabolic process; organic substance catabolic process; response to organic substance; retinol metabolic process; small molecule catabolic process
ADH1C	GO:0006091; GO:0010033; GO:0032787; GO:0042572; GO:0044248; GO:0044282; GO:0098754; GO:1901575; GO:1901701	cellular catabolic process; cellular response to oxygen-containing compound; detoxification; generation of precursor metabolites and energy; monocarboxylic acid metabolic process; organic substance catabolic process; response to organic substance; retinol metabolic process; small molecule catabolic process
ADH4	GO:0010033; GO:0044248; GO:0044282; GO:0098754; GO:1901575; GO:1901701	cellular catabolic process; cellular response to oxygen-containing compound; detoxification; organic substance catabolic process; response to organic substance; small molecule catabolic process
ADH5	GO:0010033; GO:0044248; GO:0044282; GO:0098754; GO:1901575; GO:1901701	cellular catabolic process; cellular response to oxygen-containing compound; detoxification; organic substance catabolic process; response to organic substance; small molecule catabolic process
ADH6	GO:0006091; GO:0010033; GO:0032787; GO:0042572; GO:0044248; GO:0044282; GO:0098754; GO:1901575; GO:1901701	cellular catabolic process; cellular response to oxygen-containing compound; detoxification; generation of precursor metabolites and energy; monocarboxylic acid metabolic process; organic substance catabolic process; response to organic substance; retinol metabolic process; small molecule catabolic process
ADH7	GO:0006091; GO:0010033; GO:0032787; GO:0042572; GO:0044248; GO:0044282; GO:0098754; GO:1901575; GO:1901701	cellular catabolic process; cellular response to oxygen-containing compound; detoxification; generation of precursor metabolites and energy; monocarboxylic acid metabolic process; organic substance catabolic process; response to organic substance; retinol metabolic process; small molecule catabolic process
ADI1	GO:0006790; GO:0009066	aspartate family amino acid metabolic process; sulfur compound metabolic process
ADIPOR1	GO:0009755; GO:0019221	cytokine-mediated signaling pathway; hormone-mediated signaling pathway
ADIPOR2	GO:0009755; GO:0019221	cytokine-mediated signaling pathway; hormone-mediated signaling pathway
ADK	GO:0006144	purine nucleobase metabolic process
ADM	GO:0003073; GO:0007189; GO:0008016; GO:0051240	adenylate cyclase-activating G protein-coupled receptor signaling pathway; positive regulation of multicellular organismal process; regulation of heart contraction; regulation of systemic arterial blood pressure
ADM2	GO:0003073; GO:0007189; GO:0008016; GO:0051240	adenylate cyclase-activating G protein-coupled receptor signaling pathway; positive regulation of multicellular organismal process; regulation of heart contraction; regulation of systemic arterial blood pressure
ADM5	GO:0003073; GO:0007189; GO:0008016; GO:0051240	adenylate cyclase-activating G protein-coupled receptor signaling pathway; positive regulation of multicellular organismal process; regulation of heart contraction; regulation of systemic arterial blood pressure
ADNP	GO:0010468	regulation of gene expression
ADNP2	GO:0010468	regulation of gene expression
ADORA1	GO:0007186	G protein-coupled receptor signaling pathway
ADORA2A	GO:0007166; GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway
ADORA2B	GO:0007189; GO:0008015; GO:0090066	adenylate cyclase-activating G protein-coupled receptor signaling pathway; blood circulation; regulation of anatomical structure size
ADORA3	GO:0007186	G protein-coupled receptor signaling pathway
ADPGK	GO:0006006	glucose metabolic process
