Gene Name,GO IDs,Biological Functions
SIX2,"GO:0001822, GO:0001822, GO:0001822, GO:0001822, GO:0003337, GO:0003337, GO:0006355, GO:0006357, GO:0007501, GO:0007501, GO:0008283, GO:0009653, GO:0009948, GO:0009948, GO:0016477, GO:0030278, GO:0032330, GO:0045944, GO:0048557, GO:0048557, GO:0072006, GO:0072006, GO:0072028, GO:0072028, GO:0072038, GO:0072038, GO:0072161, GO:0072161, GO:0090189, GO:0090189, GO:0097168, GO:0097168, GO:1902732, GO:1902732","kidney development, kidney development, kidney development, kidney development, mesenchymal to epithelial transition involved in metanephros morphogenesis, mesenchymal to epithelial transition involved in metanephros morphogenesis, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, mesodermal cell fate specification, mesodermal cell fate specification, cell population proliferation, anatomical structure morphogenesis, anterior/posterior axis specification, anterior/posterior axis specification, cell migration, regulation of ossification, regulation of chondrocyte differentiation, positive regulation of transcription by RNA polymerase II, embryonic digestive tract morphogenesis, embryonic digestive tract morphogenesis, nephron development, nephron development, nephron morphogenesis, nephron morphogenesis, mesenchymal stem cell maintenance involved in nephron morphogenesis, mesenchymal stem cell maintenance involved in nephron morphogenesis, mesenchymal cell differentiation involved in kidney development, mesenchymal cell differentiation involved in kidney development, regulation of branching involved in ureteric bud morphogenesis, regulation of branching involved in ureteric bud morphogenesis, mesenchymal stem cell proliferation, mesenchymal stem cell proliferation, positive regulation of chondrocyte proliferation, positive regulation of chondrocyte proliferation"
SIX3,"GO:0001654, GO:0001654, GO:0002070, GO:0002070, GO:0002088, GO:0002088, GO:0003404, GO:0003404, GO:0006357, GO:0007420, GO:0007420, GO:0007601, GO:0007601, GO:0009946, GO:0009946, GO:0010467, GO:0014016, GO:0014016, GO:0021537, GO:0021798, GO:0021846, GO:0021846, GO:0021978, GO:0021978, GO:0021983, GO:0021983, GO:0042127, GO:0042127, GO:0045665, GO:0045665, GO:0045892, GO:0045944, GO:0061074, GO:0061074, GO:0070306, GO:0070306, GO:0097402, GO:0097402, GO:1901987, GO:1901987, GO:1902692, GO:1902692, GO:1902742, GO:1902742, GO:1990086, GO:1990086, GO:2000177, GO:2000177","eye development, eye development, epithelial cell maturation, epithelial cell maturation, lens development in camera-type eye, lens development in camera-type eye, optic vesicle morphogenesis, optic vesicle morphogenesis, regulation of transcription by RNA polymerase II, brain development, brain development, visual perception, visual perception, proximal/distal axis specification, proximal/distal axis specification, gene expression, neuroblast differentiation, neuroblast differentiation, telencephalon development, forebrain dorsal/ventral pattern formation, cell proliferation in forebrain, cell proliferation in forebrain, telencephalon regionalization, telencephalon regionalization, pituitary gland development, pituitary gland development, regulation of cell population proliferation, regulation of cell population proliferation, negative regulation of neuron differentiation, negative regulation of neuron differentiation, negative regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, regulation of neural retina development, regulation of neural retina development, lens fiber cell differentiation, lens fiber cell differentiation, neuroblast migration, neuroblast migration, regulation of cell cycle phase transition, regulation of cell cycle phase transition, regulation of neuroblast proliferation, regulation of neuroblast proliferation, apoptotic process involved in development, apoptotic process involved in development, lens fiber cell apoptotic process, lens fiber cell apoptotic process, regulation of neural precursor cell proliferation, regulation of neural precursor cell proliferation"
SIX4,"GO:0006355, GO:0006357, GO:0007519, GO:0007519, GO:0008584, GO:0008584, GO:0009653, GO:0030238, GO:0030238, GO:0030910, GO:0030910, GO:0034504, GO:0034504, GO:0043066, GO:0043066, GO:0043524, GO:0043524, GO:0043586, GO:0043586, GO:0045214, GO:0045214, GO:0045892, GO:0045892, GO:0045893, GO:0045944, GO:0046661, GO:0046661, GO:0048699, GO:0048699, GO:0050678, GO:0050678, GO:0060037, GO:0060037, GO:0061055, GO:0061055, GO:0061197, GO:0061197, GO:0061551, GO:0061551, GO:0072075, GO:0072075, GO:0072095, GO:0072095, GO:0072107, GO:0072107, GO:0090190, GO:0090190, GO:0098528, GO:0098528, GO:1902725, GO:1902725","regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, skeletal muscle tissue development, skeletal muscle tissue development, male gonad development, male gonad development, anatomical structure morphogenesis, male sex determination, male sex determination, olfactory placode formation, olfactory placode formation, protein localization to nucleus, protein localization to nucleus, negative regulation of apoptotic process, negative regulation of apoptotic process, negative regulation of neuron apoptotic process, negative regulation of neuron apoptotic process, tongue development, tongue development, sarcomere organization, sarcomere organization, negative regulation of DNA-templated transcription, negative regulation of DNA-templated transcription, positive regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, male sex differentiation, male sex differentiation, generation of neurons, generation of neurons, regulation of epithelial cell proliferation, regulation of epithelial cell proliferation, pharyngeal system development, pharyngeal system development, myotome development, myotome development, fungiform papilla morphogenesis, fungiform papilla morphogenesis, trigeminal ganglion development, trigeminal ganglion development, metanephric mesenchyme development, metanephric mesenchyme development, regulation of branch elongation involved in ureteric bud branching, regulation of branch elongation involved in ureteric bud branching, positive regulation of ureteric bud formation, positive regulation of ureteric bud formation, positive regulation of branching involved in ureteric bud morphogenesis, positive regulation of branching involved in ureteric bud morphogenesis, skeletal muscle fiber differentiation, skeletal muscle fiber differentiation, negative regulation of satellite cell differentiation, negative regulation of satellite cell differentiation"
SIX5,"GO:0006355, GO:0006357, GO:0045892, GO:0045944, GO:1902723","regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, negative regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, negative regulation of skeletal muscle satellite cell proliferation"
SIX6,"GO:0001654, GO:0006357, GO:0007601, GO:0007601, GO:0009887","eye development, regulation of transcription by RNA polymerase II, visual perception, visual perception, animal organ morphogenesis"
SIX6OS1,None Found,None Found
SKA1,"GO:0000070, GO:0000278, GO:0000278, GO:0000280, GO:0007056, GO:0007056, GO:0007059, GO:0007059, GO:0007080, GO:0031110, GO:0031110, GO:0031116, GO:0051296, GO:0051296, GO:0051301, GO:0051310, GO:0051315, GO:0051315, GO:0098813, GO:0140499","mitotic sister chromatid segregation, mitotic cell cycle, mitotic cell cycle, nuclear division, spindle assembly involved in female meiosis, spindle assembly involved in female meiosis, chromosome segregation, chromosome segregation, mitotic metaphase chromosome alignment, regulation of microtubule polymerization or depolymerization, regulation of microtubule polymerization or depolymerization, positive regulation of microtubule polymerization, establishment of meiotic spindle orientation, establishment of meiotic spindle orientation, cell division, metaphase chromosome alignment, attachment of mitotic spindle microtubules to kinetochore, attachment of mitotic spindle microtubules to kinetochore, nuclear chromosome segregation, negative regulation of mitotic spindle assembly checkpoint signaling"
SKA2,"GO:0000070, GO:0000278, GO:0007056, GO:0007056, GO:0007059, GO:0007059, GO:0007080, GO:0031110, GO:0051296, GO:0051296, GO:0051301, GO:0051315","mitotic sister chromatid segregation, mitotic cell cycle, spindle assembly involved in female meiosis, spindle assembly involved in female meiosis, chromosome segregation, chromosome segregation, mitotic metaphase chromosome alignment, regulation of microtubule polymerization or depolymerization, establishment of meiotic spindle orientation, establishment of meiotic spindle orientation, cell division, attachment of mitotic spindle microtubules to kinetochore"
SKA3,"GO:0000070, GO:0000278, GO:0007056, GO:0007056, GO:0007059, GO:0007059, GO:0007080, GO:0031110, GO:0051296, GO:0051296, GO:0051310, GO:0051315, GO:0051315, GO:0140499","mitotic sister chromatid segregation, mitotic cell cycle, spindle assembly involved in female meiosis, spindle assembly involved in female meiosis, chromosome segregation, chromosome segregation, mitotic metaphase chromosome alignment, regulation of microtubule polymerization or depolymerization, establishment of meiotic spindle orientation, establishment of meiotic spindle orientation, metaphase chromosome alignment, attachment of mitotic spindle microtubules to kinetochore, attachment of mitotic spindle microtubules to kinetochore, negative regulation of mitotic spindle assembly checkpoint signaling"
SKAP1,"GO:0001954, GO:0002821, GO:0033625, GO:0033634, GO:0033634, GO:0034116, GO:0045893, GO:0045944, GO:0045944, GO:0050852, GO:0050852, GO:1903039, GO:1903039","positive regulation of cell-matrix adhesion, positive regulation of adaptive immune response, positive regulation of integrin activation, positive regulation of cell-cell adhesion mediated by integrin, positive regulation of cell-cell adhesion mediated by integrin, positive regulation of heterotypic cell-cell adhesion, positive regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II, T cell receptor signaling pathway, T cell receptor signaling pathway, positive regulation of leukocyte cell-cell adhesion, positive regulation of leukocyte cell-cell adhesion"
SKAP2,GO:0007165,signal transduction
SKI,"GO:0000122, GO:0000122, GO:0000122, GO:0001843, GO:0002089, GO:0007179, GO:0008285, GO:0009948, GO:0010626, GO:0014902, GO:0021772, GO:0022011, GO:0030177, GO:0030326, GO:0030512, GO:0030512, GO:0030512, GO:0030512, GO:0030512, GO:0030514, GO:0030514, GO:0030514, GO:0032926, GO:0035019, GO:0043010, GO:0043388, GO:0043585, GO:0045668, GO:0045944, GO:0048147, GO:0048593, GO:0048741, GO:0048870, GO:0050767, GO:0060021, GO:0060038, GO:0060041, GO:0060325, GO:0060349, GO:0060392, GO:0061061","negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, neural tube closure, lens morphogenesis in camera-type eye, transforming growth factor beta receptor signaling pathway, negative regulation of cell population proliferation, anterior/posterior axis specification, negative regulation of Schwann cell proliferation, myotube differentiation, olfactory bulb development, myelination in peripheral nervous system, positive regulation of Wnt signaling pathway, embryonic limb morphogenesis, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of BMP signaling pathway, negative regulation of BMP signaling pathway, negative regulation of BMP signaling pathway, negative regulation of activin receptor signaling pathway, somatic stem cell population maintenance, camera-type eye development, positive regulation of DNA binding, nose morphogenesis, negative regulation of osteoblast differentiation, positive regulation of transcription by RNA polymerase II, negative regulation of fibroblast proliferation, camera-type eye morphogenesis, skeletal muscle fiber development, cell motility, regulation of neurogenesis, roof of mouth development, cardiac muscle cell proliferation, retina development in camera-type eye, face morphogenesis, bone morphogenesis, negative regulation of SMAD protein signal transduction, muscle structure development"
SKIC2,"GO:0000956, GO:0006401, GO:0006402, GO:0070478, GO:0070478, GO:0070481, GO:0072344","nuclear-transcribed mRNA catabolic process, RNA catabolic process, mRNA catabolic process, nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay, nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay, nuclear-transcribed mRNA catabolic process, non-stop decay, rescue of stalled cytosolic ribosome"
SKIC3,"GO:0000956, GO:0000956, GO:0006401, GO:0070478, GO:0072344","nuclear-transcribed mRNA catabolic process, nuclear-transcribed mRNA catabolic process, RNA catabolic process, nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay, rescue of stalled cytosolic ribosome"
SKIC8,"GO:0000956, GO:0006368, GO:0045638, GO:0070478, GO:0072344","nuclear-transcribed mRNA catabolic process, transcription elongation by RNA polymerase II, negative regulation of myeloid cell differentiation, nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay, rescue of stalled cytosolic ribosome"
SKIDA1,GO:0006357,regulation of transcription by RNA polymerase II
SKIL,"GO:0000122, GO:0000122, GO:0007283, GO:0007519, GO:0030512, GO:0030512, GO:0030512, GO:0030514, GO:0034097, GO:0046677, GO:0050767, GO:0050772, GO:0050772, GO:0061061, GO:0070848","negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, spermatogenesis, skeletal muscle tissue development, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of BMP signaling pathway, response to cytokine, response to antibiotic, regulation of neurogenesis, positive regulation of axonogenesis, positive regulation of axonogenesis, muscle structure development, response to growth factor"
SKOR1,"GO:0000122, GO:0006355, GO:0030514, GO:0030514, GO:0090101","negative regulation of transcription by RNA polymerase II, regulation of DNA-templated transcription, negative regulation of BMP signaling pathway, negative regulation of BMP signaling pathway, negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway"
SKOR2,"GO:0000122, GO:0000122, GO:0006355, GO:0030512, GO:0030514, GO:0090101","negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, regulation of DNA-templated transcription, negative regulation of transforming growth factor beta receptor signaling pathway, negative regulation of BMP signaling pathway, negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway"
SKP1,"GO:0000082, GO:0000209, GO:0006338, GO:0006355, GO:0006511, GO:0006879, GO:0007129, GO:0007129, GO:0007346, GO:0010564, GO:0010824, GO:0014033, GO:0016567, GO:0016567, GO:0030510, GO:0031146, GO:0031146, GO:0031146, GO:0031146, GO:0031507, GO:0032006, GO:0042752, GO:0042981, GO:0043161, GO:0043161, GO:0045892, GO:0050727, GO:0051124, GO:0051298, GO:0051457, GO:0051726, GO:0060173, GO:0060271, GO:0070936, GO:1901524, GO:1904415, GO:2000001","G1/S transition of mitotic cell cycle, protein polyubiquitination, chromatin remodeling, regulation of DNA-templated transcription, ubiquitin-dependent protein catabolic process, intracellular iron ion homeostasis, homologous chromosome pairing at meiosis, homologous chromosome pairing at meiosis, regulation of mitotic cell cycle, regulation of cell cycle process, regulation of centrosome duplication, neural crest cell differentiation, protein ubiquitination, protein ubiquitination, regulation of BMP signaling pathway, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, heterochromatin formation, regulation of TOR signaling, regulation of circadian rhythm, regulation of apoptotic process, proteasome-mediated ubiquitin-dependent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process, negative regulation of DNA-templated transcription, regulation of inflammatory response, synaptic assembly at neuromuscular junction, centrosome duplication, maintenance of protein location in nucleus, regulation of cell cycle, limb development, cilium assembly, protein K48-linked ubiquitination, regulation of mitophagy, regulation of xenophagy, regulation of DNA damage checkpoint"
SKP2,"GO:0000082, GO:0000082, GO:0000082, GO:0006511, GO:0016567, GO:0031146, GO:0031146, GO:0042981, GO:0043161, GO:0045087, GO:0051607, GO:0070534, GO:0070534, GO:0070936, GO:1905168, GO:1905168, GO:1905168","G1/S transition of mitotic cell cycle, G1/S transition of mitotic cell cycle, G1/S transition of mitotic cell cycle, ubiquitin-dependent protein catabolic process, protein ubiquitination, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, regulation of apoptotic process, proteasome-mediated ubiquitin-dependent protein catabolic process, innate immune response, defense response to virus, protein K63-linked ubiquitination, protein K63-linked ubiquitination, protein K48-linked ubiquitination, positive regulation of double-strand break repair via homologous recombination, positive regulation of double-strand break repair via homologous recombination, positive regulation of double-strand break repair via homologous recombination"
SLA,"GO:0007165, GO:0043408","signal transduction, regulation of MAPK cascade"
SLA2,"GO:0000122, GO:0019724, GO:0042110, GO:0042110, GO:0050776, GO:0050849, GO:0050851, GO:0050860","negative regulation of transcription by RNA polymerase II, B cell mediated immunity, T cell activation, T cell activation, regulation of immune response, negative regulation of calcium-mediated signaling, antigen receptor-mediated signaling pathway, negative regulation of T cell receptor signaling pathway"
SLAIN1,"GO:0007020, GO:0031116, GO:0031122","microtubule nucleation, positive regulation of microtubule polymerization, cytoplasmic microtubule organization"
SLAIN2,"GO:0007020, GO:0007020, GO:0031113, GO:0031116, GO:0031116, GO:0031122, GO:0031122, GO:0031122","microtubule nucleation, microtubule nucleation, regulation of microtubule polymerization, positive regulation of microtubule polymerization, positive regulation of microtubule polymerization, cytoplasmic microtubule organization, cytoplasmic microtubule organization, cytoplasmic microtubule organization"
SLAMF1,"GO:0001779, GO:0001787, GO:0001818, GO:0002277, GO:0002725, GO:0006955, GO:0007165, GO:0008284, GO:0008284, GO:0032689, GO:0032695, GO:0032715, GO:0032720, GO:0032729, GO:0042104, GO:0045321, GO:0046330, GO:0046649, GO:0046718, GO:0070374, GO:2000349, GO:2000556","natural killer cell differentiation, natural killer cell proliferation, negative regulation of cytokine production, myeloid dendritic cell activation involved in immune response, negative regulation of T cell cytokine production, immune response, signal transduction, positive regulation of cell population proliferation, positive regulation of cell population proliferation, negative regulation of type II interferon production, negative regulation of interleukin-12 production, negative regulation of interleukin-6 production, negative regulation of tumor necrosis factor production, positive regulation of type II interferon production, positive regulation of activated T cell proliferation, leukocyte activation, positive regulation of JNK cascade, lymphocyte activation, symbiont entry into host cell, positive regulation of ERK1 and ERK2 cascade, negative regulation of CD40 signaling pathway, positive regulation of T-helper 1 cell cytokine production"
SLAMF6,"GO:0006955, GO:0007165, GO:0032729, GO:0032740, GO:0042110, GO:0045954, GO:0072540","immune response, signal transduction, positive regulation of type II interferon production, positive regulation of interleukin-17 production, T cell activation, positive regulation of natural killer cell mediated cytotoxicity, T-helper 17 cell lineage commitment"
SLAMF7,"GO:0006955, GO:0007155, GO:0007165, GO:0030101, GO:0042110, GO:0042267","immune response, cell adhesion, signal transduction, natural killer cell activation, T cell activation, natural killer cell mediated cytotoxicity"
SLAMF8,"GO:0002232, GO:0002336, GO:0006955, GO:0007165, GO:0010760, GO:0042742, GO:0045577, GO:0060266, GO:0090027, GO:0090383, GO:1902623, GO:2000509","leukocyte chemotaxis involved in inflammatory response, B-1 B cell lineage commitment, immune response, signal transduction, negative regulation of macrophage chemotaxis, defense response to bacterium, regulation of B cell differentiation, negative regulation of respiratory burst involved in inflammatory response, negative regulation of monocyte chemotaxis, phagosome acidification, negative regulation of neutrophil migration, negative regulation of dendritic cell chemotaxis"
SLAMF9,"GO:0006955, GO:0007165, GO:0042110","immune response, signal transduction, T cell activation"
SLBP,"GO:0002191, GO:0006398, GO:0006398, GO:0006398, GO:0051028, GO:0051028","cap-dependent translational initiation, mRNA 3'-end processing by stem-loop binding and cleavage, mRNA 3'-end processing by stem-loop binding and cleavage, mRNA 3'-end processing by stem-loop binding and cleavage, mRNA transport, mRNA transport"
SLC10A1,"GO:0015721, GO:0015721, GO:0015721, GO:0031667, GO:0043627, GO:0045471, GO:0071466","bile acid and bile salt transport, bile acid and bile salt transport, bile acid and bile salt transport, response to nutrient levels, response to estrogen, response to ethanol, cellular response to xenobiotic stimulus"
SLC10A2,"GO:0015721, GO:0015721","bile acid and bile salt transport, bile acid and bile salt transport"
SLC10A3,GO:0015721,bile acid and bile salt transport
SLC10A4,"GO:0015721, GO:0055085","bile acid and bile salt transport, transmembrane transport"
SLC10A5,GO:0015721,bile acid and bile salt transport
SLC10A6,"GO:0015721, GO:0015721, GO:0043251","bile acid and bile salt transport, bile acid and bile salt transport, sodium-dependent organic anion transport"
SLC10A7,"GO:0006874, GO:0030210, GO:0030210, GO:0060348, GO:0060348","intracellular calcium ion homeostasis, heparin proteoglycan biosynthetic process, heparin proteoglycan biosynthetic process, bone development, bone development"
SLC11A1,"GO:0001818, GO:0001819, GO:0002309, GO:0002446, GO:0002446, GO:0002606, GO:0002827, GO:0006826, GO:0006826, GO:0006826, GO:0006828, GO:0006828, GO:0006828, GO:0006828, GO:0006879, GO:0006879, GO:0006909, GO:0006954, GO:0007035, GO:0009617, GO:0010628, GO:0015707, GO:0019730, GO:0030001, GO:0030001, GO:0030001, GO:0030026, GO:0032496, GO:0032729, GO:0032729, GO:0034341, GO:0034755, GO:0042060, GO:0042116, GO:0042742, GO:0042742, GO:0042832, GO:0045342, GO:0045454, GO:0045730, GO:0045944, GO:0048002, GO:0048255, GO:0050766, GO:0050829, GO:0060586, GO:0070574, GO:0071421, GO:0071577, GO:0098849, GO:1902600","negative regulation of cytokine production, positive regulation of cytokine production, T cell proliferation involved in immune response, neutrophil mediated immunity, neutrophil mediated immunity, positive regulation of dendritic cell antigen processing and presentation, positive regulation of T-helper 1 type immune response, iron ion transport, iron ion transport, iron ion transport, manganese ion transport, manganese ion transport, manganese ion transport, manganese ion transport, intracellular iron ion homeostasis, intracellular iron ion homeostasis, phagocytosis, inflammatory response, vacuolar acidification, response to bacterium, positive regulation of gene expression, nitrite transport, antimicrobial humoral response, metal ion transport, metal ion transport, metal ion transport, intracellular manganese ion homeostasis, response to lipopolysaccharide, positive regulation of type II interferon production, positive regulation of type II interferon production, response to type II interferon, iron ion transmembrane transport, wound healing, macrophage activation, defense response to bacterium, defense response to bacterium, defense response to protozoan, MHC class II biosynthetic process, cell redox homeostasis, respiratory burst, positive regulation of transcription by RNA polymerase II, antigen processing and presentation of peptide antigen, mRNA stabilization, positive regulation of phagocytosis, defense response to Gram-negative bacterium, multicellular organismal-level iron ion homeostasis, cadmium ion transmembrane transport, manganese ion transmembrane transport, zinc ion transmembrane transport, cellular detoxification of cadmium ion, proton transmembrane transport"
SLC11A2,"GO:0001666, GO:0003032, GO:0003032, GO:0006824, GO:0006824, GO:0006825, GO:0006826, GO:0006828, GO:0006828, GO:0006879, GO:0006879, GO:0010039, GO:0010039, GO:0015675, GO:0015676, GO:0015676, GO:0015692, GO:0030001, GO:0030001, GO:0030026, GO:0033212, GO:0033212, GO:0034599, GO:0034755, GO:0034755, GO:0034755, GO:0035434, GO:0035444, GO:0055085, GO:0060586, GO:0070574, GO:0071421, GO:0071577, GO:1902600","response to hypoxia, detection of oxygen, detection of oxygen, cobalt ion transport, cobalt ion transport, copper ion transport, iron ion transport, manganese ion transport, manganese ion transport, intracellular iron ion homeostasis, intracellular iron ion homeostasis, response to iron ion, response to iron ion, nickel cation transport, vanadium ion transport, vanadium ion transport, lead ion transport, metal ion transport, metal ion transport, intracellular manganese ion homeostasis, iron import into cell, iron import into cell, cellular response to oxidative stress, iron ion transmembrane transport, iron ion transmembrane transport, iron ion transmembrane transport, copper ion transmembrane transport, nickel cation transmembrane transport, transmembrane transport, multicellular organismal-level iron ion homeostasis, cadmium ion transmembrane transport, manganese ion transmembrane transport, zinc ion transmembrane transport, proton transmembrane transport"
SLC12A1,"GO:0006811, GO:0006821, GO:0006884, GO:0034220, GO:0035725, GO:0055085, GO:0070634, GO:0071805, GO:0097272, GO:1902476","monoatomic ion transport, chloride transport, cell volume homeostasis, monoatomic ion transmembrane transport, sodium ion transmembrane transport, transmembrane transport, transepithelial ammonium transport, potassium ion transmembrane transport, ammonium homeostasis, chloride transmembrane transport"
SLC12A2,"GO:0006811, GO:0006813, GO:0006814, GO:0006821, GO:0006821, GO:0006883, GO:0006884, GO:0006884, GO:0006884, GO:0006972, GO:0007214, GO:0010818, GO:0030007, GO:0030321, GO:0030644, GO:0030644, GO:0035633, GO:0035633, GO:0035725, GO:0035865, GO:0045795, GO:0055085, GO:0061044, GO:0070634, GO:0071805, GO:0072488, GO:0098658, GO:0098659, GO:0098719, GO:0150003, GO:0150104, GO:1902476, GO:1902476, GO:1902476, GO:1904450, GO:1904464, GO:1990573, GO:1990869","monoatomic ion transport, potassium ion transport, sodium ion transport, chloride transport, chloride transport, intracellular sodium ion homeostasis, cell volume homeostasis, cell volume homeostasis, cell volume homeostasis, hyperosmotic response, gamma-aminobutyric acid signaling pathway, T cell chemotaxis, intracellular potassium ion homeostasis, transepithelial chloride transport, intracellular chloride ion homeostasis, intracellular chloride ion homeostasis, maintenance of blood-brain barrier, maintenance of blood-brain barrier, sodium ion transmembrane transport, cellular response to potassium ion, positive regulation of cell volume, transmembrane transport, negative regulation of vascular wound healing, transepithelial ammonium transport, potassium ion transmembrane transport, ammonium transmembrane transport, inorganic anion import across plasma membrane, inorganic cation import across plasma membrane, sodium ion import across plasma membrane, regulation of spontaneous synaptic transmission, transport across blood-brain barrier, chloride transmembrane transport, chloride transmembrane transport, chloride transmembrane transport, positive regulation of aspartate secretion, regulation of matrix metallopeptidase secretion, potassium ion import across plasma membrane, cellular response to chemokine"
SLC12A3,"GO:0006811, GO:0006814, GO:0006814, GO:0006821, GO:0035725, GO:0035725, GO:0035725, GO:0055085, GO:0070294, GO:0071805, GO:1902074, GO:1902476, GO:1904044","monoatomic ion transport, sodium ion transport, sodium ion transport, chloride transport, sodium ion transmembrane transport, sodium ion transmembrane transport, sodium ion transmembrane transport, transmembrane transport, renal sodium ion absorption, potassium ion transmembrane transport, response to salt, chloride transmembrane transport, response to aldosterone"
SLC12A4,"GO:0006811, GO:0006821, GO:0006884, GO:0055064, GO:0055075, GO:0055085, GO:0071805, GO:0071805, GO:1902476, GO:1990573","monoatomic ion transport, chloride transport, cell volume homeostasis, chloride ion homeostasis, potassium ion homeostasis, transmembrane transport, potassium ion transmembrane transport, potassium ion transmembrane transport, chloride transmembrane transport, potassium ion import across plasma membrane"
SLC12A5,"GO:0006811, GO:0006811, GO:0006813, GO:0006821, GO:0006821, GO:0006971, GO:0030644, GO:0032502, GO:0051452, GO:0055085, GO:0060996, GO:0060996, GO:0071805, GO:0071805, GO:0072488, GO:0098970, GO:0150052, GO:1902476","monoatomic ion transport, monoatomic ion transport, potassium ion transport, chloride transport, chloride transport, hypotonic response, intracellular chloride ion homeostasis, developmental process, intracellular pH reduction, transmembrane transport, dendritic spine development, dendritic spine development, potassium ion transmembrane transport, potassium ion transmembrane transport, ammonium transmembrane transport, postsynaptic neurotransmitter receptor diffusion trapping, regulation of postsynapse assembly, chloride transmembrane transport"
SLC12A6,"GO:0001525, GO:0006811, GO:0006811, GO:0006821, GO:0006884, GO:0055064, GO:0055075, GO:0055085, GO:0071476, GO:0071477, GO:0071805, GO:0071805, GO:1902476, GO:1990573","angiogenesis, monoatomic ion transport, monoatomic ion transport, chloride transport, cell volume homeostasis, chloride ion homeostasis, potassium ion homeostasis, transmembrane transport, cellular hypotonic response, cellular hypotonic salinity response, potassium ion transmembrane transport, potassium ion transmembrane transport, chloride transmembrane transport, potassium ion import across plasma membrane"
SLC12A7,"GO:0006811, GO:0006821, GO:0055085, GO:0071333, GO:0071805, GO:0071805, GO:0071805, GO:1902476, GO:1990573, GO:1990573","monoatomic ion transport, chloride transport, transmembrane transport, cellular response to glucose stimulus, potassium ion transmembrane transport, potassium ion transmembrane transport, potassium ion transmembrane transport, chloride transmembrane transport, potassium ion import across plasma membrane, potassium ion import across plasma membrane"
SLC12A8,"GO:0006811, GO:0055085, GO:0071805, GO:1902476","monoatomic ion transport, transmembrane transport, potassium ion transmembrane transport, chloride transmembrane transport"
SLC12A9,"GO:0006811, GO:0055085, GO:0071805, GO:1902476","monoatomic ion transport, transmembrane transport, potassium ion transmembrane transport, chloride transmembrane transport"
SLC13A1,"GO:0006814, GO:0006814, GO:0035725, GO:0055085, GO:0055085, GO:0098656, GO:1902358, GO:1902358","sodium ion transport, sodium ion transport, sodium ion transmembrane transport, transmembrane transport, transmembrane transport, monoatomic anion transmembrane transport, sulfate transmembrane transport, sulfate transmembrane transport"
SLC13A2,"GO:0015741, GO:0015741, GO:0015741, GO:0015742, GO:0015742, GO:0015742, GO:0015746, GO:0035725, GO:0050892, GO:0055085, GO:0055085, GO:0071285, GO:0071285, GO:0071285, GO:0071422, GO:0071422, GO:0071422","fumarate transport, fumarate transport, fumarate transport, alpha-ketoglutarate transport, alpha-ketoglutarate transport, alpha-ketoglutarate transport, citrate transport, sodium ion transmembrane transport, intestinal absorption, transmembrane transport, transmembrane transport, cellular response to lithium ion, cellular response to lithium ion, cellular response to lithium ion, succinate transmembrane transport, succinate transmembrane transport, succinate transmembrane transport"
