Gene Name,GO IDs,Biological Functions
ABCB9,"GO:0002474, GO:0006518, GO:0015833, GO:0015833, GO:0035672, GO:0055085, GO:0055085","antigen processing and presentation of peptide antigen via MHC class I, peptide metabolic process, peptide transport, peptide transport, oligopeptide transmembrane transport, transmembrane transport, transmembrane transport"
ABCC1,"GO:0006691, GO:0006805, GO:0006805, GO:0009410, GO:0009410, GO:0015889, GO:0015889, GO:0030148, GO:0034599, GO:0034775, GO:0042167, GO:0042908, GO:0042908, GO:0042908, GO:0045332, GO:0046942, GO:0050729, GO:0050729, GO:0055085, GO:0055085, GO:0060326, GO:0070633, GO:0070729, GO:0070729, GO:0071716, GO:0071716, GO:0099039, GO:0140115, GO:0140115, GO:0140115, GO:0150104, GO:1904646, GO:1904646, GO:1905039, GO:1990962","leukotriene metabolic process, xenobiotic metabolic process, xenobiotic metabolic process, response to xenobiotic stimulus, response to xenobiotic stimulus, cobalamin transport, cobalamin transport, sphingolipid biosynthetic process, cellular response to oxidative stress, glutathione transmembrane transport, heme catabolic process, xenobiotic transport, xenobiotic transport, xenobiotic transport, phospholipid translocation, carboxylic acid transport, positive regulation of inflammatory response, positive regulation of inflammatory response, transmembrane transport, transmembrane transport, cell chemotaxis, transepithelial transport, cyclic nucleotide transport, cyclic nucleotide transport, leukotriene transport, leukotriene transport, sphingolipid translocation, export across plasma membrane, export across plasma membrane, export across plasma membrane, transport across blood-brain barrier, cellular response to amyloid-beta, cellular response to amyloid-beta, carboxylic acid transmembrane transport, xenobiotic transport across blood-brain barrier"
ABCC10,"GO:0006691, GO:0042908, GO:0055085, GO:0055085, GO:0055085, GO:0071716, GO:0071716","leukotriene metabolic process, xenobiotic transport, transmembrane transport, transmembrane transport, transmembrane transport, leukotriene transport, leukotriene transport"
ABCC11,"GO:0015721, GO:0015721, GO:0015865, GO:0042908, GO:0055085, GO:0055085, GO:0055085, GO:0055085, GO:0071716, GO:1903790","bile acid and bile salt transport, bile acid and bile salt transport, purine nucleotide transport, xenobiotic transport, transmembrane transport, transmembrane transport, transmembrane transport, transmembrane transport, leukotriene transport, guanine nucleotide transmembrane transport"
ABCC12,"GO:0055085, GO:0055085","transmembrane transport, transmembrane transport"
ABCC2,"GO:0006805, GO:0006805, GO:0006855, GO:0010629, GO:0015721, GO:0015723, GO:0042167, GO:0042167, GO:0042167, GO:0046618, GO:0046942, GO:0055085, GO:0055085, GO:0055085, GO:0070633, GO:0071716, GO:0150104, GO:1990962","xenobiotic metabolic process, xenobiotic metabolic process, xenobiotic transmembrane transport, negative regulation of gene expression, bile acid and bile salt transport, bilirubin transport, heme catabolic process, heme catabolic process, heme catabolic process, xenobiotic export from cell, carboxylic acid transport, transmembrane transport, transmembrane transport, transmembrane transport, transepithelial transport, leukotriene transport, transport across blood-brain barrier, xenobiotic transport across blood-brain barrier"
ABCC3,"GO:0006805, GO:0006805, GO:0006855, GO:0015721, GO:0015721, GO:0015779, GO:0042908, GO:0046942, GO:0055085, GO:0055085, GO:0055085, GO:0071716, GO:0150104","xenobiotic metabolic process, xenobiotic metabolic process, xenobiotic transmembrane transport, bile acid and bile salt transport, bile acid and bile salt transport, glucuronoside transport, xenobiotic transport, carboxylic acid transport, transmembrane transport, transmembrane transport, transmembrane transport, leukotriene transport, transport across blood-brain barrier"
ABCC4,"GO:0002576, GO:0006805, GO:0006855, GO:0015721, GO:0015732, GO:0015747, GO:0032310, GO:0034775, GO:0055085, GO:0055085, GO:0055085, GO:0060271, GO:0070730, GO:0070730, GO:0071716, GO:0071716, GO:0140115, GO:0150104, GO:1903790","platelet degranulation, xenobiotic metabolic process, xenobiotic transmembrane transport, bile acid and bile salt transport, prostaglandin transport, urate transport, prostaglandin secretion, glutathione transmembrane transport, transmembrane transport, transmembrane transport, transmembrane transport, cilium assembly, cAMP transport, cAMP transport, leukotriene transport, leukotriene transport, export across plasma membrane, transport across blood-brain barrier, guanine nucleotide transmembrane transport"
ABCC5,"GO:0006805, GO:0006855, GO:0015865, GO:0030213, GO:0030213, GO:0034775, GO:0035351, GO:0042908, GO:0042908, GO:0055085, GO:0055085, GO:0055085, GO:0070730, GO:0070731, GO:0098838, GO:0140115, GO:0150104, GO:1901264, GO:1903790, GO:1990961","xenobiotic metabolic process, xenobiotic transmembrane transport, purine nucleotide transport, hyaluronan biosynthetic process, hyaluronan biosynthetic process, glutathione transmembrane transport, heme transmembrane transport, xenobiotic transport, xenobiotic transport, transmembrane transport, transmembrane transport, transmembrane transport, cAMP transport, cGMP transport, folate transmembrane transport, export across plasma membrane, transport across blood-brain barrier, carbohydrate derivative transport, guanine nucleotide transmembrane transport, xenobiotic detoxification by transmembrane export across the plasma membrane"
ABCC6,"GO:0009410, GO:0009410, GO:0010467, GO:0015867, GO:0030505, GO:0030643, GO:0032026, GO:0046034, GO:0046942, GO:0055062, GO:0055062, GO:0055074, GO:0055074, GO:0055085, GO:0055085, GO:0055085, GO:0071716, GO:0140928, GO:1904383","response to xenobiotic stimulus, response to xenobiotic stimulus, gene expression, ATP transport, inorganic diphosphate transport, intracellular phosphate ion homeostasis, response to magnesium ion, ATP metabolic process, carboxylic acid transport, phosphate ion homeostasis, phosphate ion homeostasis, calcium ion homeostasis, calcium ion homeostasis, transmembrane transport, transmembrane transport, transmembrane transport, leukotriene transport, inhibition of non-skeletal tissue mineralization, response to sodium phosphate"
